Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,136717.00,643797.06,1.81
1991,136376.00,634555.92,1.86
1992,140663.00,648141.09,1.87
1993,146553.00,659136.04,1.67
1994,146111.00,667807.12,1.59
1995,145236.00,667946.34,1.58
1996,141006.00,654231.39,1.57
1997,141701.00,631405.20,1.55
1998,130387.00,554679.86,1.35
1999,132349.00,557386.29,1.36
2000,127682.00,554003.03,1.27
2001,124637.00,545408.61,1.34
2002,122487.00,549392.45,3.25
2003,122238.62,546970.72,3.18
2004,120531.06,545146.75,3.04
2005,120638.44,574629.16,2.94
2006,118829.09,566772.65,2.73
2007,117583.77,573734.18,2.69
2008,116464.71,572654.83,2.57
2009,114380.31,560516.36,2.50
2010,109438.36,541265.03,2.42
2011,103704.42,516338.02,2.17
2012,101086.58,516907.18,2.12
2013,94844.05,528249.52,2.09
2014,88968.37,519854.97,2.05
2015,85842.52,535995.53,1.97
2016,84751.58,529472.03,1.91
2017,84973.58,537303.36,1.81
2018,84045.05,525634.39,
