Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,6244.00,84854.53,1.29
1991,6371.00,92763.70,1.35
1992,6490.00,93967.56,1.36
1993,6800.00,97537.32,1.37
1994,7052.00,104250.06,1.38
1995,7161.00,108408.94,1.46
1996,7375.00,113974.50,1.51
1997,7490.00,110112.27,1.44
1998,7588.50,107095.51,1.33
1999,7913.00,112862.13,1.40
2000,8439.50,121303.54,1.46
2001,8422.15,127787.12,1.49
2002,8761.00,127679.76,1.46
2003,8870.75,130764.45,1.50
2004,8969.27,133875.75,1.48
2005,9458.92,146628.15,1.59
2006,9280.43,157119.71,1.66
2007,9124.76,164233.92,1.70
2008,9175.43,182907.47,1.87
2009,8903.89,176655.54,1.80
2010,8750.82,165980.96,1.66
2011,8647.41,157906.79,1.54
2012,8584.82,164912.61,1.58
2013,8398.70,166335.75,1.54
2014,7917.62,172628.46,1.58
2015,7747.81,172650.06,1.58
2016,7834.75,162480.69,1.46
2017,7786.63,167043.00,1.48
2018,7783.18,169143.03,
