Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,0.87,0.47,0.71
1991,0.87,0.47,0.57
1992,0.98,0.53,0.58
1993,1.02,0.56,0.46
1994,0.92,0.50,0.64
1995,0.88,0.48,0.74
1996,0.88,0.48,0.78
1997,0.90,0.65,0.76
1998,0.90,0.66,0.72
1999,0.84,0.66,0.93
2000,0.96,0.75,0.83
2001,0.99,0.77,0.88
2002,0.98,0.77,0.81
2003,0.97,0.79,0.82
2004,0.93,0.76,0.78
2005,0.91,0.77,0.67
2006,0.92,0.79,0.65
2007,1.07,0.90,0.70
2008,1.06,0.90,0.74
2009,1.06,0.88,0.63
2010,1.03,0.83,0.61
2011,1.13,0.89,0.60
2012,1.12,0.89,0.66
2013,1.06,0.85,0.67
2014,1.02,0.84,0.60
2015,1.00,0.81,0.63
2016,0.96,0.78,0.63
2017,0.83,0.70,0.68
2018,0.78,0.59,
