Year,Area harvested,Production,Per capita consumption (kg/yr)
1987,213870.00,534167.00,
1988,208750.00,504763.00,
1989,190890.00,469288.00,
1990,150680.00,352413.00,92.53
1991,206010.00,500749.00,83.71
1992,203380.00,560220.00,87.13
1993,216840.00,708931.00,88.52
1994,208540.00,669467.00,86.49
1995,194350.00,553488.00,92.55
1996,220254.00,608926.00,98.73
1997,206558.00,551058.00,97.05
1998,140690.00,341192.00,91.91
1999,224666.00,601585.00,99.68
2000,217374.00,599293.00,103.16
2001,219196.00,635914.00,103.77
2002,239718.00,736123.00,108.03
2003,238382.00,729368.00,107.02
2004,254968.00,829027.00,116.09
2005,230086.00,670300.00,118.80
2006,257262.00,854646.00,118.70
2007,244115.00,823376.00,126.26
2008,285623.00,942286.00,128.10
2009,281910.00,944050.00,121.51
2010,203436.00,659970.00,113.82
2011,275877.00,959239.00,116.46
2012,289535.00,995402.00,118.87
2013,250791.00,822452.00,115.63
2014,264269.00,846636.00,114.35
2015,271954.00,877076.00,111.62
2016,236830.00,749699.00,107.83
2017,286550.00,937268.72,118.25
2018,292111.00,939331.95,
