Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,11.00,181.00,1.81
1991,14.00,221.00,1.86
1992,16.00,239.60,1.87
1993,17.00,249.49,1.67
1994,16.00,209.39,1.59
1995,14.00,136.64,1.58
1996,14.00,107.25,1.57
1997,13.00,108.15,1.55
1998,10.00,90.67,1.35
1999,10.00,93.97,1.36
2000,8.00,70.10,1.27
2001,8.00,70.17,1.34
2002,13.00,100.37,3.25
2003,29.00,195.07,3.18
2004,32.00,223.91,3.04
2005,30.00,216.16,2.94
2006,28.00,213.24,2.73
2007,29.50,225.61,2.69
2008,32.00,245.60,2.57
2009,33.00,252.97,2.50
2010,38.00,279.12,2.42
2011,37.75,290.64,2.17
2012,37.00,289.10,2.12
2013,39.00,312.77,2.09
2014,43.25,351.75,2.05
2015,43.00,348.01,1.97
2016,44.00,358.91,1.91
2017,41.50,343.35,1.81
2018,43.50,362.64,
