Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,107509.00,670518.21,9.70
1991,101420.00,660422.56,6.06
1992,93594.00,660194.21,8.97
1993,25528.00,184251.20,8.90
1994,25197.00,182463.80,8.60
1995,25779.00,181873.18,9.34
1996,26156.00,179280.70,8.50
1997,26559.00,141426.67,9.56
1998,25831.00,129568.30,8.73
1999,30357.00,129036.60,7.74
2000,30970.00,130662.55,8.48
2001,31676.00,131469.86,8.36
2002,32228.00,155339.63,8.76
2003,32303.00,156901.69,8.72
2004,32303.00,148115.91,8.58
2005,32228.00,153702.60,8.68
2006,32123.00,142510.01,8.59
2007,32123.00,146295.06,8.38
2008,32123.00,155112.49,8.46
2009,32123.00,157215.92,8.60
2010,32123.00,160762.41,8.31
2011,32283.00,164345.43,8.00
2012,32283.00,173572.80,8.21
2013,32283.00,178316.48,7.80
2014,32283.00,180604.68,7.35
2015,32283.00,181396.09,7.24
2016,32283.00,155583.11,6.67
2017,32283.00,150445.56,6.69
2018,32283.00,185392.63,
